prompt_id,prompt_family,repetition_index,token_count,latency_ms,decision,g_score,g_final,v_score,delta_g,stability_score,coherence_score,semantic_risk,factual_hallucination_score,semantic_instability_score,information_density,error,baromètre,modèle
NM-WEEKLY-Q01,reasoning_simple,62,328.0,24980.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5906,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,63,361.0,25315.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.591,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,64,374.0,25497.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5895,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,65,366.0,25786.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5713,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,66,363.0,25218.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5833,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,67,351.0,25225.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5844,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,68,347.0,25140.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5857,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,69,350.0,25389.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.584,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,70,333.0,24726.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5824,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,71,343.0,25530.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5982,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,72,353.0,25280.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5863,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,73,372.0,25814.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5804,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,74,382.0,25783.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5703,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,75,350.0,25339.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5912,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,76,352.0,25463.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5826,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,77,372.0,25636.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5982,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,78,331.0,24955.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5954,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,79,357.0,28415.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5904,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,80,357.0,25065.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5921,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,81,359.0,25353.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5893,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,82,382.0,26210.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5867,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,83,352.0,25380.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5879,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,84,347.0,25448.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5863,,baromètre1,anthropic_claude-sonnet-4-5-20250929
